Setup title,"mosfet 14 meas"
8.98,0.009792
8.995,0.009788
9.01,0.00978
9.025,0.009776
9.04,0.00977
9.055,0.009766
9.07,0.009758
9.085,0.00975
9.1,0.009746
9.115,0.009736
9.13,0.009734
9.145,0.00973
9.16,0.009722
9.175,0.009714
9.19,0.009706
9.205,0.009702
9.22,0.009698
9.235,0.009688
9.25,0.009684
9.265,0.009678
9.28,0.00967
9.295,0.009666
9.31,0.00966
9.325,0.009652
9.34,0.009648
9.355,0.00964
9.37,0.009634
9.385,0.009632
9.4,0.009624
9.415,0.009618
9.43,0.009618
9.445,0.009612
9.46,0.009602
9.475,0.009596
9.49,0.00959
9.505,0.009584
9.52,0.00958
9.535,0.009574
9.55,0.009566
9.565,0.00956
9.58,0.009556
9.595,0.00955
9.61,0.009542
9.625,0.00954
9.64,0.009536
9.655,0.009528
9.67,0.00952
9.685,0.009516
9.7,0.00951
9.715,0.009506
9.73,0.0095
9.745,0.009492
9.76,0.009488
9.775,0.009484
9.79,0.009478
9.805,0.009472
9.82,0.009468
9.835,0.00946
9.85,0.009456
9.865,0.009448
9.88,0.009444
9.895,0.009438
9.91,0.009434
9.925,0.009426
9.94,0.00942
9.955,0.009416
9.97,0.009408
9.985,0.009406
10,0.009398
-5,0.02864
-4.985,0.028638
-4.97,0.028636
-4.955,0.028638
-4.94,0.028632
-4.925,0.028638
-4.91,0.028642
-4.895,0.02864
-4.88,0.028638
-4.865,0.028634
-4.85,0.028634
-4.835,0.02863
-4.82,0.02863
-4.805,0.028626
-4.79,0.028626
-4.775,0.028626
-4.76,0.028624
-4.745,0.028624
-4.73,0.028624
-4.715,0.028622
-4.7,0.02862
-4.685,0.028622
-4.67,0.028616
-4.655,0.028616
-4.64,0.028616
-4.625,0.028614
-4.61,0.028616
-4.595,0.028612
-4.58,0.02861
-4.565,0.028612
-4.55,0.028608
-4.535,0.02861
-4.52,0.028606
-4.505,0.028606
-4.49,0.028604
-4.475,0.028602
-4.46,0.028602
-4.445,0.028598
-4.43,0.028598
-4.415,0.028596
-4.4,0.028594
-4.385,0.028596
-4.37,0.02859
-4.355,0.02859
-4.34,0.028588
-4.325,0.028586
-4.31,0.028584
-4.295,0.028584
-4.28,0.028582
-4.265,0.02858
-4.25,0.02858
-4.235,0.028576
-4.22,0.028578
-4.205,0.028574
-4.19,0.028572
-4.175,0.02857
-4.16,0.02857
-4.145,0.028568
-4.13,0.028564
-4.115,0.028562
-4.1,0.028562
-4.085,0.02856
-4.07,0.02856
-4.055,0.028556
-4.04,0.028556
-4.025,0.028552
-4.01,0.028548
-3.995,0.028548
-3.98,0.028546
-3.965,0.028546
-3.95,0.028542
-3.935,0.02854
-3.92,0.028538
-3.905,0.028536
-3.89,0.028532
-3.875,0.02853
-3.86,0.028526
-3.845,0.028526
-3.83,0.028524
-3.815,0.02852
-3.8,0.028518
-3.785,0.028518
-3.77,0.028514
-3.755,0.02851
-3.74,0.02851
-3.725,0.028508
-3.71,0.028506
-3.695,0.028502
-3.68,0.0285
-3.665,0.028496
-3.65,0.028494
-3.635,0.02849
-3.62,0.02849
-3.605,0.028486
-3.59,0.028484
-3.575,0.02848
-3.56,0.028476
-3.545,0.028472
-3.53,0.02847
-3.515,0.028462
-3.5,0.028462
-3.485,0.028458
-3.47,0.028452
-3.455,0.02845
-3.44,0.028448
-3.425,0.028444
-3.41,0.02844
-3.395,0.02844
-3.38,0.028436
-3.365,0.028428
-3.35,0.028424
-3.335,0.028424
-3.32,0.028414
-3.305,0.028412
-3.29,0.028408
-3.275,0.028406
-3.26,0.0284
-3.245,0.028396
-3.23,0.02839
-3.215,0.028388
-3.2,0.028382
-3.185,0.028376
-3.17,0.028372
-3.155,0.028366
-3.14,0.028362
-3.125,0.028354
-3.11,0.028352
-3.095,0.028346
-3.08,0.02834
-3.065,0.028334
-3.05,0.02833
-3.035,0.028324
-3.02,0.028316
-3.005,0.028312
-2.99,0.028306
-2.975,0.028296
-2.96,0.028292
-2.945,0.028284
-2.93,0.028276
-2.915,0.02827
-2.9,0.028264
-2.885,0.028256
-2.87,0.028244
-2.855,0.02824
-2.84,0.028228
-2.825,0.028224
-2.81,0.028212
-2.795,0.028204
-2.78,0.028194
-2.765,0.028186
-2.75,0.028178
-2.735,0.028168
-2.72,0.028158
-2.705,0.028146
-2.69,0.028138
-2.675,0.028126
-2.66,0.028114
-2.645,0.028104
-2.63,0.028092
-2.615,0.02808
-2.6,0.02807
-2.585,0.028052
-2.57,0.028042
-2.555,0.028026
-2.54,0.028014
-2.525,0.028
-2.51,0.027988
-2.495,0.02797
-2.48,0.027952
-2.465,0.027934
-2.45,0.027916
-2.435,0.0279
-2.42,0.027884
-2.405,0.027864
-2.39,0.027848
-2.375,0.027822
-2.36,0.027804
-2.345,0.027782
-2.33,0.027762
-2.315,0.027736
-2.3,0.02771
-2.285,0.027684
-2.27,0.027662
-2.255,0.027634
-2.24,0.027608
-2.225,0.02758
-2.21,0.027552
-2.195,0.02752
-2.18,0.027488
-2.165,0.027454
-2.15,0.027422
-2.135,0.027392
-2.12,0.02735
-2.105,0.027316
-2.09,0.027274
-2.075,0.027238
-2.06,0.027196
-2.045,0.027154
-2.03,0.027114
-2.015,0.027068
-2,0.027026
-1.985,0.026982
-1.97,0.026932
-1.955,0.026884
-1.94,0.026838
-1.925,0.026788
-1.91,0.026736
-1.895,0.026688
-1.88,0.026634
-1.865,0.026582
-1.85,0.026528
-1.835,0.02647
-1.82,0.02642
-1.805,0.026362
-1.79,0.026308
-1.775,0.026244
